,day,infected,type,stat,type_pretty
511,23.0,-0.1987000000000001,infected,left,40%
512,24.0,-0.22520000000000007,infected,left,40%
513,25.0,-0.19600000000000017,infected,left,40%
514,26.0,-0.30190000000000006,infected,left,40%
515,27.0,-0.4155,infected,left,40%
516,28.0,-0.4410999999999998,infected,left,40%
517,29.0,-0.4376000000000001,infected,left,40%
518,30.0,-0.4555,infected,left,40%
519,31.0,-0.51,infected,left,40%
520,32.0,-0.5682,infected,left,40%
521,33.0,-0.6266999999999998,infected,left,40%
522,34.0,-0.6900000000000002,infected,left,40%
523,35.0,-0.6842999999999999,infected,left,40%
524,36.0,-0.3758999999999999,infected,left,40%
525,37.0,-0.4718,infected,left,40%
526,38.0,-0.4728000000000001,infected,left,40%
527,39.0,-0.47039999999999993,infected,left,40%
528,40.0,-0.4669000000000001,infected,left,40%
529,41.0,-0.3329,infected,left,40%
530,42.0,-0.5862,infected,left,40%
531,43.0,-0.24030000000000007,infected,left,40%
532,44.0,-0.24350000000000005,infected,left,40%
533,45.0,-0.26759999999999984,infected,left,40%
534,46.0,-0.3967999999999998,infected,left,40%
535,47.0,-0.48450000000000015,infected,left,40%
536,48.0,-0.4666000000000001,infected,left,40%
537,49.0,-0.5102,infected,left,40%
538,50.0,-0.40069999999999995,infected,left,40%
539,51.0,-0.4021,infected,left,40%
540,52.0,-0.4163000000000001,infected,left,40%
541,53.0,-0.4638,infected,left,40%
542,54.0,-0.41979999999999995,infected,left,40%
543,55.0,-0.3815000000000002,infected,left,40%
544,56.0,-0.4153000000000002,infected,left,40%
545,57.0,-0.2117000000000001,infected,left,40%
546,58.0,-0.22720000000000007,infected,left,40%
547,59.0,-0.2802,infected,left,40%
548,60.0,-0.3204,infected,left,40%
549,0.0,0.0,infected,right,0%
550,1.0,0.0,infected,right,0%
551,2.0,0.0638,infected,right,0%
552,3.0,0.11759999999999998,infected,right,0%
553,4.0,0.12809999999999994,infected,right,0%
554,5.0,0.1683,infected,right,0%
555,6.0,0.47829999999999995,infected,right,0%
556,7.0,0.3785999999999998,infected,right,0%
557,8.0,0.1301,infected,right,0%
558,9.0,0.34450000000000003,infected,right,0%
559,10.0,0.41400000000000015,infected,right,0%
560,11.0,0.7059000000000002,infected,right,0%
561,12.0,0.6414,infected,right,0%
562,13.0,0.9345999999999997,infected,right,0%
563,14.0,0.8089000000000004,infected,right,0%
564,15.0,0.23940000000000006,infected,right,0%
565,16.0,0.37639999999999985,infected,right,0%
566,17.0,0.4091999999999998,infected,right,0%
567,18.0,0.23950000000000005,infected,right,0%
568,19.0,0.6063000000000001,infected,right,0%
569,20.0,0.7985999999999995,infected,right,0%
570,21.0,1.0732999999999997,infected,right,0%
571,22.0,0.5301999999999998,infected,right,0%
572,23.0,0.6431,infected,right,0%
573,24.0,0.6084,infected,right,0%
574,25.0,0.9370000000000003,infected,right,0%
575,26.0,0.9653,infected,right,0%
576,27.0,0.4195000000000002,infected,right,0%
577,28.0,0.40830000000000055,infected,right,0%
578,29.0,0.04859999999999998,infected,right,0%
579,30.0,0.13829999999999965,infected,right,0%
580,31.0,0.3331999999999997,infected,right,0%
581,32.0,0.3506999999999998,infected,right,0%
582,33.0,0.5970000000000004,infected,right,0%
583,34.0,0.9514000000000005,infected,right,0%
584,35.0,1.1197,infected,right,0%
585,36.0,0.32319999999999993,infected,right,0%
586,37.0,0.19030000000000014,infected,right,0%
587,38.0,0.3158000000000003,infected,right,0%
588,39.0,0.4326000000000003,infected,right,0%
589,40.0,0.2663000000000002,infected,right,0%
590,41.0,0.20929999999999982,infected,right,0%
591,42.0,-0.8258000000000001,infected,right,0%
592,43.0,-0.38749999999999996,infected,right,0%
593,44.0,-0.4152,infected,right,0%
