,trace,day,type
127,127,5,School screening
128,128,5,School screening
129,129,5,School screening
130,130,12,School screening
131,131,19,School screening
132,132,5,School screening
133,133,5,School screening
134,134,12,School screening
135,135,5,School screening
136,136,19,School screening
137,137,12,School screening
138,138,19,School screening
139,139,0,-
140,140,5,School screening
141,141,0,-
142,142,5,School screening
143,143,5,School screening
144,144,12,School screening
145,145,12,School screening
146,146,12,School screening
147,147,19,School screening
148,148,12,School screening
149,149,12,School screening
150,150,12,School screening
151,151,5,School screening
152,152,5,School screening
153,153,0,-
154,154,5,School screening
155,155,12,School screening
156,156,5,School screening
157,157,12,School screening
158,158,5,School screening
159,159,5,School screening
160,160,5,School screening
161,161,5,School screening
162,162,12,School screening
163,163,5,School screening
164,164,19,School screening
165,165,12,School screening
166,166,5,School screening
167,167,0,-
168,168,12,School screening
169,169,12,School screening
170,170,19,School screening
171,171,12,School screening
172,172,5,School screening
173,173,0,-
174,174,5,School screening
175,175,12,School screening
176,176,26,School screening
177,177,12,School screening
178,178,5,School screening
179,179,5,School screening
180,180,0,-
181,181,19,School screening
182,182,12,School screening
183,183,26,School screening
184,184,0,-
185,185,5,School screening
186,186,12,School screening
187,187,12,School screening
188,188,5,School screening
189,189,5,School screening
190,190,5,School screening
191,191,19,School screening
192,192,12,School screening
193,193,5,School screening
194,194,5,School screening
195,195,5,School screening
196,196,5,School screening
197,197,12,School screening
198,198,12,School screening
199,199,12,School screening
200,200,0,-
201,201,5,School screening
202,202,5,School screening
203,203,19,School screening
204,204,12,School screening
205,205,5,School screening
206,206,0,-
207,207,5,School screening
208,208,12,School screening
209,209,12,School screening
210,210,12,School screening
211,211,5,School screening
212,212,19,School screening
213,213,0,-
214,214,5,School screening
215,215,5,School screening
216,216,5,School screening
217,217,12,School screening
218,218,5,School screening
219,219,0,-
220,220,26,School screening
221,221,5,School screening
222,222,26,School screening
223,223,0,-
224,224,5,School screening
225,225,5,School screening
226,226,5,School screening
227,227,0,-
228,228,0,-
229,229,12,School screening
230,230,5,School screening
231,231,5,School screening
232,232,5,School screening
233,233,5,School screening
234,234,5,School screening
235,235,12,School screening
236,236,5,School screening
237,237,12,School screening
238,238,5,School screening
239,239,5,School screening
240,240,12,School screening
241,241,12,School screening
242,242,12,School screening
243,243,19,School screening
244,244,5,School screening
245,245,12,School screening
246,246,5,School screening
247,247,19,School screening
248,248,19,School screening
249,249,5,School screening
250,250,5,School screening
251,251,5,School screening
252,252,0,-
253,253,5,School screening
254,254,5,School screening
255,255,5,School screening
256,256,12,School screening
257,257,0,-
258,258,5,School screening
259,259,5,School screening
260,260,5,School screening
261,261,12,School screening
262,262,5,School screening
263,263,12,School screening
264,264,5,School screening
265,265,0,-
266,266,5,School screening
267,267,12,School screening
268,268,5,School screening
269,269,5,School screening
270,270,0,-
271,271,5,School screening
272,272,0,-
273,273,5,School screening
274,274,12,School screening
275,275,12,School screening
276,276,5,School screening
277,277,19,School screening
278,278,5,School screening
279,279,5,School screening
280,280,12,School screening
281,281,12,School screening
282,282,12,School screening
283,283,5,School screening
284,284,5,School screening
285,285,19,School screening
286,286,19,School screening
287,287,12,School screening
288,288,5,School screening
289,289,12,School screening
290,290,5,School screening
291,291,5,School screening
292,292,5,School screening
293,293,0,-
294,294,5,School screening
295,295,12,School screening
296,296,12,School screening
297,297,5,School screening
298,298,5,School screening
299,299,5,School screening
300,300,5,School screening
301,301,12,School screening
302,302,19,School screening
303,303,19,School screening
304,304,12,School screening
305,305,0,-
306,306,12,School screening
307,307,0,-
308,308,5,School screening
309,309,5,School screening
310,310,0,-
311,311,0,-
312,312,5,School screening
313,313,5,School screening
314,314,0,-
315,315,12,School screening
316,316,5,School screening
317,317,5,School screening
318,318,12,School screening
319,319,19,School screening
320,320,5,School screening
321,321,0,-
322,322,12,School screening
323,323,12,School screening
324,324,5,School screening
325,325,19,School screening
326,326,12,School screening
327,327,0,-
328,328,12,School screening
329,329,12,School screening
330,330,19,School screening
331,331,5,School screening
332,332,19,School screening
333,333,5,School screening
334,334,5,School screening
335,335,5,School screening
336,336,12,School screening
337,337,12,School screening
338,338,12,School screening
339,339,5,School screening
340,340,5,School screening
341,341,12,School screening
342,342,19,School screening
343,343,5,School screening
344,344,5,School screening
345,345,5,School screening
346,346,5,School screening
347,347,5,School screening
348,348,12,School screening
349,349,12,School screening
350,350,12,School screening
351,351,5,School screening
352,352,0,-
353,353,12,School screening
354,354,5,School screening
355,355,0,-
356,356,5,School screening
357,357,5,School screening
358,358,12,School screening
359,359,19,School screening
360,360,5,School screening
361,361,5,School screening
362,362,5,School screening
363,363,0,-
364,364,0,-
365,365,5,School screening
366,366,5,School screening
367,367,0,-
368,368,5,School screening
369,369,12,School screening
370,370,12,School screening
371,371,5,School screening
372,372,12,School screening
373,373,5,School screening
374,374,12,School screening
375,375,12,School screening
376,376,12,School screening
377,377,5,School screening
378,378,5,School screening
379,379,12,School screening
380,380,5,School screening
381,381,5,School screening
382,382,12,School screening
383,383,5,School screening
384,384,5,School screening
385,385,12,School screening
386,386,0,-
387,387,26,School screening
388,388,26,School screening
389,389,5,School screening
390,390,0,-
391,391,26,School screening
392,392,19,School screening
393,393,5,School screening
394,394,5,School screening
395,395,26,School screening
396,396,5,School screening
397,397,12,School screening
398,398,5,School screening
399,399,5,School screening
400,400,5,School screening
401,401,0,-
402,402,0,-
403,403,0,-
404,404,5,School screening
405,405,5,School screening
406,406,12,School screening
407,407,12,School screening
408,408,19,School screening
409,409,5,School screening
410,410,12,School screening
411,411,0,-
412,412,19,School screening
413,413,5,School screening
414,414,12,School screening
415,415,12,School screening
416,416,5,School screening
417,417,12,School screening
418,418,5,School screening
419,419,5,School screening
420,420,12,School screening
421,421,5,School screening
422,422,12,School screening
423,423,19,School screening
424,424,0,-
425,425,12,School screening
426,426,19,School screening
427,427,5,School screening
428,428,5,School screening
429,429,5,School screening
430,430,0,-
431,431,5,School screening
432,432,0,-
433,433,12,School screening
434,434,12,School screening
435,435,5,School screening
436,436,5,School screening
437,437,5,School screening
438,438,5,School screening
439,439,12,School screening
440,440,12,School screening
441,441,5,School screening
442,442,12,School screening
443,443,5,School screening
444,444,12,School screening
445,445,12,School screening
446,446,0,-
447,447,12,School screening
448,448,5,School screening
449,449,0,-
450,450,5,School screening
451,451,12,School screening
452,452,19,School screening
453,453,5,School screening
454,454,0,-
455,455,5,School screening
456,456,33,School screening
457,457,12,School screening
458,458,0,-
459,459,5,School screening
460,460,12,School screening
461,461,19,School screening
462,462,5,School screening
463,463,12,School screening
464,464,26,School screening
465,465,19,School screening
466,466,5,School screening
467,467,19,School screening
468,468,5,School screening
469,469,12,School screening
470,470,5,School screening
471,471,12,School screening
472,472,12,School screening
473,473,0,-
474,474,5,School screening
475,475,5,School screening
476,476,12,School screening
477,477,12,School screening
478,478,5,School screening
479,479,0,-
480,480,5,School screening
481,481,5,School screening
482,482,19,School screening
483,483,12,School screening
484,484,5,School screening
485,485,5,School screening
486,486,19,School screening
487,487,12,School screening
488,488,5,School screening
489,489,19,School screening
490,490,5,School screening
491,491,5,School screening
492,492,12,School screening
493,493,12,School screening
494,494,5,School screening
495,495,12,School screening
496,496,5,School screening
497,497,12,School screening
498,498,5,School screening
499,499,5,School screening
500,500,12,School screening
501,501,5,School screening
502,502,12,School screening
503,503,26,School screening
504,504,19,School screening
505,505,5,School screening
506,506,5,School screening
507,507,12,School screening
508,508,12,School screening
509,509,19,School screening
510,510,0,-
511,511,19,School screening
512,512,5,School screening
513,513,12,School screening
514,514,19,School screening
515,515,5,School screening
516,516,19,School screening
517,517,5,School screening
518,518,12,School screening
519,519,5,School screening
520,520,5,School screening
521,521,12,School screening
522,522,0,-
523,523,5,School screening
524,524,12,School screening
525,525,12,School screening
526,526,0,-
527,527,5,School screening
528,528,5,School screening
529,529,5,School screening
530,530,0,-
531,531,5,School screening
532,532,5,School screening
533,533,5,School screening
534,534,12,School screening
535,535,12,School screening
536,536,12,School screening
537,537,26,School screening
538,538,26,School screening
539,539,5,School screening
540,540,5,School screening
541,541,5,School screening
542,542,5,School screening
543,543,12,School screening
544,544,0,-
545,545,12,School screening
546,546,12,School screening
547,547,19,School screening
548,548,12,School screening
549,549,26,School screening
550,550,5,School screening
551,551,5,School screening
552,552,5,School screening
553,553,5,School screening
554,554,5,School screening
555,555,5,School screening
556,556,5,School screening
557,557,5,School screening
558,558,0,-
559,559,5,School screening
560,560,5,School screening
561,561,5,School screening
562,562,0,-
563,563,5,School screening
564,564,26,School screening
565,565,5,School screening
566,566,0,-
567,567,5,School screening
568,568,12,School screening
569,569,12,School screening
570,570,19,School screening
571,571,12,School screening
572,572,12,School screening
573,573,12,School screening
574,574,26,School screening
575,575,12,School screening
576,576,26,School screening
577,577,12,School screening
578,578,5,School screening
579,579,12,School screening
580,580,12,School screening
581,581,12,School screening
582,582,12,School screening
583,583,5,School screening
584,584,5,School screening
585,585,12,School screening
586,586,12,School screening
587,587,5,School screening
588,588,0,-
589,589,12,School screening
590,590,5,School screening
591,591,5,School screening
592,592,5,School screening
593,593,19,School screening
594,594,5,School screening
595,595,5,School screening
596,596,19,School screening
597,597,26,School screening
598,598,5,School screening
599,599,5,School screening
600,600,19,School screening
601,601,5,School screening
602,602,12,School screening
603,603,5,School screening
604,604,12,School screening
605,605,5,School screening
606,606,5,School screening
607,607,5,School screening
608,608,0,-
609,609,26,School screening
610,610,12,School screening
611,611,5,School screening
612,612,19,School screening
613,613,19,School screening
614,614,12,School screening
615,615,5,School screening
616,616,26,School screening
617,617,0,-
618,618,5,School screening
619,619,12,School screening
620,620,5,School screening
621,621,0,-
622,622,5,School screening
623,623,0,-
624,624,12,School screening
625,625,5,School screening
626,626,19,School screening
627,627,19,School screening
628,628,5,School screening
629,629,5,School screening
630,630,0,-
631,631,5,School screening
632,632,5,School screening
633,633,12,School screening
634,634,19,School screening
635,635,5,School screening
636,636,5,School screening
637,637,19,School screening
638,638,12,School screening
639,639,12,School screening
640,640,19,School screening
641,641,12,School screening
642,642,5,School screening
643,643,12,School screening
